DTMNFR;ORGAO;TIPO;SIGLA;SIMBOLO;NOME_LISTA;NUM_ORDEM;NOME_CANDIDATO;PARTIDO_PROPONENTE;INDEPENDENTE
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;11;Manuel Esteves dos Santos Peixoto;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;12;Rita Santos Fernandes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;13;José António Abala-Matos Búzio;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;14;Rita Sofia de Sousa Portugal;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;15;João Pedro Dias Nunes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;16;Cátia Lourenço Cameira;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;17;José João Caleiro Plácido;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;18;Carolina Isabel Gomes Veiga;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;19;Luis Manuel Vieira Garcia;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;20;Maria Manuela Amado Simões;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;21;Rúben Filipe Santos Peres;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;22;Pedro Nuno Freire Gaspar;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;23;Maria Da Saudade Dias Da Silva;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;24;Guilherme Machado da Rosa Perdigão Luz;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;25;Ricardo Daniel Rodrigues da Silva;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;26;Maria Emília Mamede Grazina Samora;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;27;José Manuel da Silva;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;28;Arminda Purificação Carvalho Mourão da Silva Vieira;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;29;João Frederico da Silva Lopes de Frias Branco;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;30;Beatriz Alexandra de Carvalho e Melo Franco;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;31;Henrique Galelo Palhotas;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;32;Maria Suzete do Carmo Lourenço Rapaz;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;33;Alberto Marques Antunes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;34;Patricia Alexandra Martins Carvalho;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;35;Mário Daniel Da Silva Tavares Paracana;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;36;Inês Maurile De Oliveira Silva;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;37;Isabella Sales Baltazar;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;38;Luis Manuel Jales Cordeiro;PAN;N
